
teamOne,0.65,17.31,teamTwo,0.88,17.96,46,50,4
teamOne,1.21,18.3,teamTwo,1.65,17.37,43,52,5
teamOne,1.015,18.12,teamTwo,1.785,18.01,73,114,13
teamOne,1.715,17.695,teamTwo,1.265,18.26,108,81,11
teamOne,1.265,17.82,teamTwo,1.21,17.82,99,93,8
